ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-01-03T11:27:16.751443296Z,2022-01-03T11:27:16.751433019Z,10,2,10600,C,N,5,1135.800000000,198,130,10277,5013798,1135.000000000,1135.350000000,538,2,2,1,1134.440000000,1135.380000000,100,7,1,2,1134.380000000,1135.500000000,7,30,1,1,1134.300000000,1135.580000000,21,50,2,1,1134.230000000,1135.770000000,2,150,1,1,1134.190000000,1135.800000000,6,1,1,1,1134.000000000,1135.830000000,1021,100,3,1,1133.670000000,1135.890000000,9,9,1,1,1133.050000000,1135.940000000,1,100,1,1,1133.000000000,1136.000000000,51,35,5,6,TSLA
2022-01-03T11:27:16.891526572Z,2022-01-03T11:27:16.891516456Z,10,2,10600,C,N,0,1135.350000000,2,130,10116,5013867,1135.000000000,1135.380000000,538,7,2,2,1134.440000000,1135.500000000,100,30,1,1,1134.380000000,1135.580000000,7,50,1,1,1134.300000000,1135.770000000,21,150,2,1,1134.230000000,1135.800000000,2,1,1,1,1134.190000000,1135.830000000,6,100,1,1,1134.000000000,1135.890000000,1021,9,3,1,1133.670000000,1135.940000000,9,100,1,1,1133.050000000,1136.000000000,1,35,1,6,1133.000000000,1136.030000000,51,1,5,1,TSLA
2022-01-03T11:27:16.892604574Z,2022-01-03T11:27:16.892593876Z,10,2,10600,A,N,0,1135.360000000,2,130,10698,5013868,1135.000000000,1135.360000000,538,2,2,1,1134.440000000,1135.380000000,100,7,1,2,1134.380000000,1135.500000000,7,30,1,1,1134.300000000,1135.580000000,21,50,2,1,1134.230000000,1135.770000000,2,150,1,1,1134.190000000,1135.800000000,6,1,1,1,1134.000000000,1135.830000000,1021,100,3,1,1133.670000000,1135.890000000,9,9,1,1,1133.050000000,1135.940000000,1,100,1,1,1133.000000000,1136.000000000,51,35,5,6,TSLA
2022-01-03T11:27:17.029476664Z,2022-01-03T11:27:17.029466541Z,10,2,27,C,N,3,178.540000000,27,130,10123,5013929,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.320000000,178.550000000,900,1,2,1,178.300000000,178.560000000,768,400,8,1,178.280000000,178.590000000,85,20,4,1,178.270000000,178.610000000,46,1,3,1,178.260000000,178.690000000,1,260,1,1,178.250000000,178.800000000,38,20,4,2,178.240000000,178.860000000,6,3,2,1,AAPL
2022-01-03T11:27:17.029539398Z,2022-01-03T11:27:17.029529131Z,10,2,27,A,N,5,178.570000000,30,130,10267,5013930,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.320000000,178.550000000,900,1,2,1,178.300000000,178.560000000,768,400,8,1,178.280000000,178.570000000,85,30,4,1,178.270000000,178.590000000,46,20,3,1,178.260000000,178.610000000,1,1,1,1,178.250000000,178.690000000,38,260,4,1,178.240000000,178.800000000,6,20,2,2,AAPL
2022-01-03T11:27:17.055507361Z,2022-01-03T11:27:17.055496703Z,10,2,10600,A,N,1,1134.500000000,1,130,10658,5013945,1135.000000000,1135.360000000,538,2,2,1,1134.500000000,1135.380000000,1,7,1,2,1134.440000000,1135.500000000,100,30,1,1,1134.380000000,1135.580000000,7,50,1,1,1134.300000000,1135.770000000,21,150,2,1,1134.230000000,1135.800000000,2,1,1,1,1134.190000000,1135.830000000,6,100,1,1,1134.000000000,1135.890000000,1021,9,3,1,1133.670000000,1135.940000000,9,100,1,1,1133.050000000,1136.000000000,1,35,1,6,TSLA
2022-01-03T11:27:17.064907476Z,2022-01-03T11:27:17.064896896Z,10,2,10600,A,N,2,1134.480000000,100,130,10580,5013948,1135.000000000,1135.360000000,538,2,2,1,1134.500000000,1135.380000000,1,7,1,2,1134.480000000,1135.500000000,100,30,1,1,1134.380000000,1135.580000000,7,50,1,1,1134.300000000,1135.770000000,21,150,2,1,1134.230000000,1135.800000000,2,1,1,1,1134.190000000,1135.830000000,6,100,1,1,1134.000000000,1135.890000000,1021,9,3,1,1133.670000000,1135.940000000,9,100,1,1,1133.050000000,1136.000000000,1,35,1,6,TSLA
2022-01-03T11:27:17.920142680Z,2022-01-03T11:27:17.920131481Z,10,2,10600,C,N,6,1135.830000000,100,130,11199,5014143,1135.000000000,1135.360000000,538,2,2,1,1134.500000000,1135.380000000,1,7,1,2,1134.480000000,1135.500000000,100,30,1,1,1134.380000000,1135.580000000,7,50,1,1,1134.300000000,1135.770000000,21,150,2,1,1134.230000000,1135.800000000,2,1,1,1,1134.190000000,1135.890000000,6,9,1,1,1134.000000000,1135.940000000,1021,100,3,1,1133.670000000,1136.000000000,9,35,1,6,1133.050000000,1136.030000000,1,1,1,1,TSLA
2022-01-03T11:27:17.920316554Z,2022-01-03T11:27:17.920303033Z,10,2,10600,T,B,0,1135.360000000,2,0,13521,5014144,1135.000000000,1135.360000000,538,2,2,1,1134.500000000,1135.380000000,1,7,1,2,1134.480000000,1135.500000000,100,30,1,1,1134.380000000,1135.580000000,7,50,1,1,1134.300000000,1135.770000000,21,150,2,1,1134.230000000,1135.800000000,2,1,1,1,1134.190000000,1135.890000000,6,9,1,1,1134.000000000,1135.940000000,1021,100,3,1,1133.670000000,1136.000000000,9,35,1,6,1133.050000000,1136.030000000,1,1,1,1,TSLA
2022-01-03T11:27:17.920316554Z,2022-01-03T11:27:17.920303033Z,10,2,10600,T,B,0,1135.380000000,2,0,13521,5014145,1135.000000000,1135.380000000,538,7,2,2,1134.500000000,1135.500000000,1,30,1,1,1134.480000000,1135.580000000,100,50,1,1,1134.380000000,1135.770000000,7,150,1,1,1134.300000000,1135.800000000,21,1,2,1,1134.230000000,1135.890000000,2,9,1,1,1134.190000000,1135.940000000,6,100,1,1,1134.000000000,1136.000000000,1021,35,3,6,1133.670000000,1136.030000000,9,1,1,1,1133.050000000,1136.120000000,1,6,1,1,TSLA
2022-01-03T11:27:17.920316554Z,2022-01-03T11:27:17.920303033Z,10,2,10600,T,B,0,1135.380000000,5,130,13521,5014146,1135.000000000,1135.380000000,538,5,2,1,1134.500000000,1135.500000000,1,30,1,1,1134.480000000,1135.580000000,100,50,1,1,1134.380000000,1135.770000000,7,150,1,1,1134.300000000,1135.800000000,21,1,2,1,1134.230000000,1135.890000000,2,9,1,1,1134.190000000,1135.940000000,6,100,1,1,1134.000000000,1136.000000000,1021,35,3,6,1133.670000000,1136.030000000,9,1,1,1,1133.050000000,1136.120000000,1,6,1,1,TSLA
2022-01-03T11:27:17.920316554Z,2022-01-03T11:27:17.920303033Z,10,2,10600,C,N,0,1135.380000000,5,130,13521,5014146,1135.000000000,1135.500000000,538,30,2,1,1134.500000000,1135.580000000,1,50,1,1,1134.480000000,1135.770000000,100,150,1,1,1134.380000000,1135.800000000,7,1,1,1,1134.300000000,1135.890000000,21,9,2,1,1134.230000000,1135.940000000,2,100,1,1,1134.190000000,1136.000000000,6,35,1,6,1134.000000000,1136.030000000,1021,1,3,1,1133.670000000,1136.120000000,9,6,1,1,1133.050000000,1136.390000000,1,100,1,1,TSLA
